scaffold	start	end	query	query_start	query_end	strand	color
chr1	107449	169819	chr1	202046324	202115178	-	#7F00FF
chr1	280384	59833430	chr1	142624700	202035386	-	#7F00FF
chr1	59836594	60013782	chr1	142448841	142624700	+	#7F00FF
chr1	60017695	60251561	chr1	142212050	142446691	+	#7F00FF
chr1	60253888	106495799	chr1	95857482	142212040	-	#7F00FF
chr1	106546972	190617251	chr1	12020917	95752053	-	#7F00FF
chr1	190783930	192823180	chr1	9991060	12020917	-	#7F00FF
chr1	192823185	201432642	chr1	1242395	9845235	-	#7F00FF
chr1	201432642	201493807	chr1	1184375	1242395	+	#7F00FF
chr1	201494509	202683282	chr1	6	1184375	-	#7F00FF
chr10	2660	19322888	chr10	91954293	111181550	-	#E70018
chr10	19271691	19353641	chr10	91877883	91949548	-	#E70018
chr10	19406137	29963800	chr10	81286075	91877883	-	#E70018
chr10	30047054	32914424	chr10	78460716	81286071	-	#E70018
chr10	32865142	57331954	chr10	54077440	78460716	-	#E70018
chr10	57424015	57690287	chr10	53827322	54076896	-	#E70018
chr10	57718675	58130390	chr10	53353512	53759907	-	#E70018
chr10	58152118	60296999	chr10	51297406	53295338	-	#E70018
chr10	60371104	95869863	chr10	15774451	51285019	-	#E70018
chr10	96031731	96284101	chr10	15530574	15754941	-	#E70018
chr10	96345794	97036280	chr10	14732094	15469882	-	#E70018
chr10	97016893	97394780	chr10	14383413	14721118	-	#E70018
chr10	97405927	97493196	chr10	14218003	14334843	+	#E70018
chr10	97526303	97803028	chr10	13934674	14159606	-	#E70018
chr10	97852075	97986451	chr10	13707689	13850436	+	#E70018
chr10	98067715	98379061	chr10	13365996	13690226	-	#E70018
chr10	98487614	98571574	chr10	13282516	13338078	-	#E70018
chr10	98634002	99496415	chr10	12458714	13277814	-	#E70018
chr10	99531056	100204823	chr10	11727897	12375218	-	#E70018
chr10	100275044	110767512	chr10	1241807	11626527	-	#E70018
chr10	110806093	111960806	chr10	8798	1152145	-	#E70018
chr11	170	1679229	chr11	102819416	104468085	-	#2F8201
chr11	1770990	10973469	chr11	93565792	102720493	-	#2F8201
chr11	10973537	90894843	chr11	13548359	93515269	-	#2F8201
chr11	90894097	102376075	chr11	2079555	13548101	+	#2F8201
chr11	102376081	102921895	chr11	1547594	2079515	-	#2F8201
chr11	102981373	104589238	chr11	21	1547594	-	#2F8201
chr11	104910734	105042642	chr12	85320119	85561981	+	#E6FE0F
chr12	1	19822348	chr12	65316007	85080154	-	#E6FE0F
chr12	19873632	52530946	chr12	32446271	65316007	-	#E6FE0F
chr12	46217453	46293626	chr12	38609902	38689515	-	#E6FE0F
chr12	46306960	46361989	chr12	38835383	38916057	-	#E6FE0F
chr12	52595972	85117956	chr12	90	32349820	-	#E6FE0F
chr13	19445	65876903	chr13	26763570	92415531	-	#DD7CE6
chr13	65830230	66192171	chr13	26348954	26727089	-	#DD7CE6
chr13	66192171	66257464	chr13	26270817	26333611	+	#DD7CE6
chr13	66259967	66930768	chr13	25574962	26225528	-	#DD7CE6
chr13	66949787	67208449	chr13	25241314	25516232	-	#DD7CE6
chr13	67094708	67907217	chr13	24489505	25211285	-	#DD7CE6
chr13	67399726	67456021	chr13	24556755	24613567	-	#DD7CE6
chr13	67986002	68055323	chr13	24441630	24514254	-	#DD7CE6
chr13	68260467	74394727	chr13	18308616	24423587	-	#DD7CE6
chr13	74395231	76115346	chr13	16493419	18255109	-	#DD7CE6
chr13	76139249	89215525	chr13	3360371	16437023	-	#DD7CE6
chr13	89275776	89354946	chr13	3229081	3287575	+	#DD7CE6
chr13	89290921	89370091	chr13	3229081	3287575	-	#DD7CE6
chr13	89430300	91328206	chr13	1246834	3163740	-	#DD7CE6
chr13	91331165	91986391	chr13	537085	1170635	-	#DD7CE6
chr13	92012357	92490415	chr13	0	486860	-	#DD7CE6
chr14	28185	769117	chr14	0	747792	+	#752587
chr14	837877	3029339	chr14	801872	2904469	+	#752587
chr14	3106554	3565510	chr14	2904469	3338725	+	#752587
chr14	3575590	3656978	chr14	3367377	3438244	-	#752587
chr14	3687852	12483701	chr14	3439047	12208047	+	#752587
chr14	12561913	27073918	chr14	12226825	26798174	+	#752587
chr14	27074083	60989067	chr14	26855460	60767135	+	#752587
chr14	60989067	61876795	chr14	60843397	61764002	+	#752587
chr14	61886937	61953058	chr14	61764002	61824887	-	#752587
chr14	61963192	64037685	chr14	61824887	63890568	+	#752587
chr14	63977549	64089227	chr14	63908796	63997782	-	#752587
chr14	64196019	68031786	chr14	63993337	67758338	+	#752587
chr14	68100283	68268509	chr14	68281202	68448708	+	#752587
chr14	68386959	68551419	chr14	68123402	68280569	-	#752587
chr14	68622189	68773715	chr14	68485946	68631180	+	#752587
chr14	68787303	70143917	chr14	68682108	70045860	+	#752587
chr14	70239034	90021302	chr14	70093776	89806965	+	#752587
chr14	89932792	89986317	chr9	96463929	96535571	+	#0000FF
chr15	0	4043689	chr15	18022	3948313	+	#7FBF7F
chr15	4043689	8768191	chr15	7468078	12185599	-	#7FBF7F
chr15	8868719	12037500	chr15	4250722	7407451	-	#7FBF7F
chr15	12038405	12332738	chr15	3954699	4250207	+	#7FBF7F
chr15	12337198	13104308	chr15	12185601	12952457	+	#7FBF7F
chr15	12931680	13039136	chr15	13235740	13306036	+	#7FBF7F
chr15	13227876	38857718	chr15	12971509	38512407	+	#7FBF7F
chr15	13480659	13561166	chr15	12780053	12890490	+	#7FBF7F
chr15	38857718	59551624	chr15	38562419	59159440	+	#7FBF7F
chr15	59622209	59722580	chr15	59169530	59263546	-	#7FBF7F
chr16	0	13260241	chr16	54173044	67353525	-	#FF7F00
chr16	13347010	28327623	chr16	39240316	54150703	-	#FF7F00
chr16	28396865	30704622	chr16	36949538	39239593	-	#FF7F00
chr16	30738787	31096261	chr16	36492889	36848415	-	#FF7F00
chr16	31156149	34344191	chr16	33277290	36481465	-	#FF7F00
chr16	34466420	43863425	chr16	23931707	33254078	-	#FF7F00
chr16	44011265	65080223	chr16	2662413	23753898	-	#FF7F00
chr16	65117965	67763351	chr16	2309	2603896	-	#FF7F00
chr17	86	672717	chr17	45577	678040	+	#007FFF
chr17	789069	2791671	chr17	676772	2730653	+	#007FFF
