scaffold	start	end	query	query_start	query_end	strand	color
chr1	57	202694569	chr1	50375	203160773	+	#7F00FF
chr10	4255	111960806	chr10	8722	111951331	-	#E70018
chr11	3101	105093796	chr11	287928	104988705	-	#2F8201
chr12	1	6485927	chr12	78647270	85133115	+	#E6FE0F
chr12	6486618	85116190	chr12	0	78527732	-	#E6FE0F
chr13	239	92507274	chr13	122	92231050	+	#DD7CE6
chr14	27940	90040268	chr14	180260	90064304	-	#752587
chr15	234	4043689	chr15	22809	3923571	+	#7FBF7F
chr15	4043689	12039314	chr15	3927598	12359108	-	#7FBF7F
chr15	12336966	59551624	chr15	12359739	59378870	+	#7FBF7F
chr16	70	67766256	chr16	0	67541439	-	#FF7F00
chr17	86	57606852	chr17	27945	57724208	-	#007FFF
chr17	55515129	57168361	chr2	1956766	2966614	-	#77D7F8
chr18	2961	39219538	chr18	54	39616067	+	#FF00FF
chr2	2	216428896	chr2	3	216850996	-	#77D7F8
chr3	103888	195015583	chr3	101814	194045661	+	#F5C084
chr4	0	190997902	chr4	0	189971901	-	#9C4C18
chr5	33525	154445693	chr5	73169	154543657	+	#F6378A
chr5	1228639	2826139	chr5	1076510	2682511	-	#F6378A
chr6	46373	147793978	chr6	79	147310750	+	#007F7F
chr7	452622	144088725	chr7	454251	144636885	+	#00FF7F
chr8	5137	138178256	chr8	60	138359515	+	#00FFFF
chr9	0	139572864	chr9	6896	140028035	+	#0000FF
chrX	0	123489032	chrX	2223	124590380	+	#00FF00
