scaffold	start	end	query	query_start	query_end	strand	color
chr1	57	169819	chr1	202046324	202256348	-	#7F00FF
chr1	280384	59833430	chr1	142624700	202035386	-	#7F00FF
chr1	59836594	60013782	chr1	142448841	142624700	+	#7F00FF
chr1	60017695	60251561	chr1	142212050	142446691	+	#7F00FF
chr1	60253888	106495799	chr1	95857482	142212040	-	#7F00FF
chr1	106546972	190617251	chr1	12020917	95752053	-	#7F00FF
chr1	190783930	192823180	chr1	9991060	12020917	-	#7F00FF
chr1	192823185	202683282	chr1	6	9845235	-	#7F00FF
chr10	2660	95869863	chr10	15774451	111181550	-	#E70018
chr10	96031731	97479230	chr10	14247754	15754941	-	#E70018
chr10	96115510	96267049	chr10	15399127	15516717	-	#E70018
chr10	96426515	96572711	chr10	15420636	15525575	-	#E70018
chr10	97428899	97803028	chr10	13934674	14241124	-	#E70018
chr10	97852075	97986451	chr10	13707689	13850436	+	#E70018
chr10	98067715	98379061	chr10	13365996	13690226	-	#E70018
chr10	98487614	100204823	chr10	11727897	13338078	-	#E70018
chr10	100275044	111960806	chr10	8798	11626527	-	#E70018
chr11	170	90894843	chr11	13548359	104468085	-	#2F8201
chr11	90894097	102376075	chr11	2079555	13548101	+	#2F8201
chr11	102376081	104589238	chr11	21	2079515	-	#2F8201
chr11	104862692	105042642	chr12	85230495	85561981	+	#E6FE0F
chr12	1	85117956	chr12	90	85080154	-	#E6FE0F
chr12	46117524	46361989	chr12	38835383	39044745	-	#E6FE0F
chr12	46134049	46293626	chr12	38609902	38740040	-	#E6FE0F
chr13	19445	65876903	chr13	26763570	92415531	-	#DD7CE6
chr13	65745769	66192171	chr13	26348954	26728972	-	#DD7CE6
chr13	66259967	67370463	chr13	25089776	26225528	-	#DD7CE6
chr13	66962796	67907217	chr13	24489505	25266392	-	#DD7CE6
chr13	68260467	92490415	chr13	0	24423587	-	#DD7CE6
chr14	28185	68031786	chr14	0	67758338	+	#752587
chr14	68100283	68268509	chr14	68281202	68448708	+	#752587
chr14	68386959	68551419	chr14	68123402	68280569	-	#752587
chr14	68622189	90021302	chr14	68485946	89806965	+	#752587
chr15	0	4043689	chr15	18022	3948313	+	#7FBF7F
chr15	4043689	8768191	chr15	7468078	12185599	-	#7FBF7F
chr15	8868719	12037500	chr15	4250722	7407451	-	#7FBF7F
chr15	12038405	12332738	chr15	3954699	4250207	+	#7FBF7F
chr15	12337198	13104308	chr15	12185601	12952457	+	#7FBF7F
chr15	13227876	59551624	chr15	12971509	59159440	+	#7FBF7F
chr16	0	30704622	chr16	36949538	67353525	-	#FF7F00
chr16	30738787	44028864	chr16	23835160	36848415	-	#FF7F00
chr16	43938205	67763351	chr16	2309	23820674	-	#FF7F00
chr17	86	672717	chr17	45577	678040	+	#007FFF
chr17	789069	2791671	chr17	676772	2730653	+	#007FFF
chr17	2870272	3101988	chr17	2877252	3122431	+	#007FFF
chr17	3206891	3770659	chr17	3158665	3710340	+	#007FFF
chr17	3740966	20236804	chr17	3998508	20514559	+	#007FFF
chr17	20327454	20445095	chr17	20731692	20902934	+	#007FFF
chr17	20445105	20555451	chr17	20898509	21005818	-	#007FFF
chr17	20552316	54282599	chr17	21005818	54627838	+	#007FFF
chr17	54413783	56967792	chr17	54627838	57107021	+	#007FFF
chr17	57203309	57606852	chr17	57107021	57475919	+	#007FFF
chr18	6858	15952158	chr18	23773186	39344853	-	#FF00FF
chr18	16103684	22802762	chr18	16777145	23629236	-	#FF00FF
chr18	22808169	22978793	chr18	16589143	16756861	+	#FF00FF
chr18	23001301	36802627	chr18	2734421	16586644	-	#FF00FF
chr18	36802970	39137524	chr18	342286	2634311	-	#FF00FF
chr2	2	45689021	chr2	171230378	216770332	-	#77D7F8
chr2	45696389	65995209	chr2	150707854	171048681	-	#77D7F8
chr2	65995209	82596922	chr2	133989239	150598952	-	#77D7F8
chr2	82791912	147316031	chr2	69364195	133925395	-	#77D7F8
chr2	147314849	147535833	chr2	69151867	69365188	+	#77D7F8
chr2	147535720	161130856	chr2	55476815	69151867	-	#77D7F8
chr2	161237355	168254076	chr2	48323572	55384396	-	#77D7F8
chr2	168355388	204910596	chr2	11560742	48231644	-	#77D7F8
chr2	205053341	205539191	chr2	10922885	11244731	-	#77D7F8
chr2	205662216	216441385	chr2	63	10865812	-	#77D7F8
chr3	12221	41005597	chr3	153807895	194718364	-	#F5C084
chr3	41141215	81085808	chr3	113790239	153720717	-	#F5C084
chr3	81302889	82477952	chr3	112581667	113790239	-	#F5C084
chr3	82583934	195015583	chr3	1499	112556359	-	#F5C084
chr4	0	63925245	chr4	126184905	189779211	-	#9C4C18
chr4	64410564	90770980	chr4	99846790	125859980	-	#9C4C18
chr4	90874257	144784070	chr4	45709208	99792219	-	#9C4C18
chr4	144955414	189476860	chr4	1373407	45708864	-	#9C4C18
chr4	189585818	190998044	chr4	0	1373407	-	#9C4C18
chr5	33525	771536	chr5	153091278	153785923	-	#F6378A
chr5	888864	1663189	chr5	152331711	153068835	-	#F6378A
chr5	1794864	2245653	chr5	151862093	152331710	-	#F6378A
chr5	2247359	2359358	chr5	151761433	151867170	+	#F6378A
chr5	2329179	2442416	chr5	151125533	151240363	+	#F6378A
chr5	2359778	2926737	chr5	151264556	151757321	-	#F6378A
chr5	2885353	3610963	chr5	150465290	151190041	-	#F6378A
chr5	3610967	4126343	chr5	150026871	150465271	+	#F6378A
chr5	4126345	7662901	chr5	146660246	150026871	-	#F6378A
chr5	7787615	46261211	chr5	108175876	146624622	-	#F6378A
chr5	46261211	154442010	chr5	6	108019163	-	#F6378A
chr5	89492442	89656447	chr9	51193488	51371143	-	#0000FF
chr6	46373	85963946	chr6	61694928	147683202	-	#007F7F
chr6	86078447	89490004	chr6	58256080	61694924	-	#007F7F
chr6	89591863	118578574	chr6	29250910	58266246	-	#007F7F
chr6	118568955	118863502	chr6	28805179	29164820	-	#007F7F
chr6	118972827	147784891	chr6	293	28571585	-	#007F7F
chr6	119052540	119163819	chr6	28649587	28752413	-	#007F7F
chr6	146441658	146543205	chr6	1235804	1336146	+	#007F7F
chr7	251814	858664	chr7	143006361	143359262	-	#00FF7F
chr7	875585	1059880	chr7	142777216	142925674	+	#00FF7F
chr7	1061232	69169475	chr7	74678108	142755465	-	#00FF7F
chr7	69331313	94897964	chr7	49096914	74583875	-	#00FF7F
chr7	95102453	121084656	chr7	22772198	48882417	-	#00FF7F
chr7	121085626	121209339	chr7	22629999	22768376	+	#00FF7F
chr7	121209449	144086785	chr7	105	22629967	-	#00FF7F
chr8	3847	27948817	chr8	110082722	137878590	-	#00FFFF
chr8	27957879	48821347	chr8	89012143	109902210	-	#00FFFF
chr8	48921698	49156003	chr8	88842528	89010709	+	#00FFFF
chr8	49170609	49335240	chr8	88707656	88882791	+	#00FFFF
chr8	49273817	50000238	chr8	87921044	88661693	-	#00FFFF
chr8	50062085	65845644	chr8	72001313	87793290	-	#00FFFF
chr8	65947443	100433366	chr8	37556358	72000358	-	#00FFFF
chr8	100728868	138178244	chr8	0	37313133	-	#00FFFF
